station_id,latitude,longitude,wind_dir_degrees,wind_speed_kt
KXER,27.946,-90.997,210,8
KANR,27.2264,-91.19,180,9
ULLI,59.798,30.267,40,14
PFWS,58.704,-157.005,230,12
PASX,60.476,-151.053,130,3
KPKV,28.6499,-96.6799,150,9
KGYH,34.763,-82.375,220,8
KBOK,42.0754,-124.29,130,4
UUDD,55.409,37.906,260,10
PASM,62.057,-163.298,190,12
KOXC,41.4741,-73.1353,190,5
KLOT,41.6031,-88.1017,150,11
KLNK,40.8478,-96.7647,140,3
KLFK,31.2359,-94.7546,200,7
KEUF,31.9516,-85.1312,220,4
KBLF,37.2978,-81.2036,0,0
CYBD,52.388,-126.589,270,2
PFSH,64.367,-161.217,210,13
KVBT,36.3444,-94.2211,230,12
KUIL,47.937,-124.558,150,4
KTOL,41.5871,-83.8054,190,4
KHFD,41.7352,-72.6512,100,4
KGRD,34.2539,-82.1526,230,9
KBNO,43.5949,-118.958,0,0
PAHO,59.642,-151.491,270,8
PAGA,64.738,-156.92,110,8
PAFR,61.263,-149.66,130,8
MMTO,19.343,-99.568,0,0
KTIW,47.2674,-122.576,190,4
KSHN,47.2384,-123.142,0,0
KSFY,42.0454,-90.1101,200,5
KSEA,47.4447,-122.314,210,6
KPVC,42.0743,-70.2183,230,11
KOFK,41.9799,-97.4335,20,6
KHYA,41.6719,-70.2697,230,10
KGRB,44.4796,-88.137,170,7
KFFT,38.1846,-84.9039,190,8
KCLL,30.5912,-96.3631,200,6
KARR,41.7713,-88.4815,140,8
KARB,42.2239,-83.7398,210,7
CYQI,43.831,-66.088,230,14
CYNC,53.011,-78.825,0,0
YWLM,-32.794,151.836,200,15
PKWA,8.72,167.724,70,4
LWSK,41.952,21.627,10,17
LWOH,41.181,20.744,20,5
LSZS,46.526,9.879,350,13
LSZR,47.485,9.561,270,5
LSZL,46.164,8.878,270,5
LSZH,47.48,8.536,30,7
LSZG,47.179,7.415,80,7
LSZC,46.972,8.392,100,5
LSZB,46.914,7.497,320,5
LSZA,46.004,8.91,190,6
LSMP,46.844,6.916,30,3
LSME,47.092,8.305,70,4
LSMA,46.943,8.286,70,7
LSGS,46.219,7.33,240,9
LSGG,46.248,6.128,50,6
LSGC,47.083,6.792,260,3
LOXZ,47.203,14.744,70,5
LOWW,48.117,16.582,310,12
LOWS,47.789,13.009,320,9
LOWI,47.26,11.344,80,10
LOWG,46.997,15.447,150,4
LIRZ,43.097,12.51,40,13
LIRQ,43.81,11.205,30,9
LIRN,40.885,14.292,290,8
LIRF,41.8,12.239,280,11
LIRA,41.808,12.585,260,11
LIPZ,45.505,12.352,150,4
LIPY,43.617,13.36,30,11
LIPX,45.387,10.872,180,4
LIPR,44.02,12.612,80,8
LIPQ,45.828,13.472,110,9
LIPO,45.429,10.331,160,5
LIPE,44.531,11.297,350,7
LIMZ,44.547,7.623,330,4
LIMW,45.735,7.351,90,10
LIML,45.461,9.263,130,6
LIMJ,44.413,8.838,140,6
LIMF,45.203,7.649,80,5
LIMC,45.631,8.728,270,5
LIEO,40.899,9.518,70,9
LIEE,39.243,9.06,160,8
LIEA,40.631,8.289,10,8
LICR,38.072,15.654,360,15
LICJ,38.176,13.091,20,11
LICD,35.498,12.618,330,6
LICC,37.467,15.064,50,12
LICB,36.994,14.606,240,9
LICA,38.908,16.242,260,13
LIBR,40.658,17.951,350,11
LIBP,42.432,14.181,30,10
LIBD,41.138,16.765,360,8
LGZA,37.751,20.884,350,7
LGTS,40.52,22.971,170,9
LGSR,36.399,25.479,340,13
LGSK,39.177,23.504,360,5
LGSA,35.54,24.141,280,10
LGRX,38.151,21.426,310,4
LGRP,36.405,28.086,240,17
LGPZ,38.921,20.761,260,12
LGPA,37.022,25.114,350,20
LGMT,39.054,26.604,330,12
LGMK,37.435,25.348,360,23
LGLM,39.917,25.236,20,12
LGKZ,40.288,21.842,150,8
LGKV,40.915,24.622,210,8
LGKR,39.61,19.913,300,5
LGKO,36.801,27.091,300,18
LGKL,37.068,22.026,140,10
LGKF,38.12,20.5,290,7
LGIR,35.337,25.173,320,14
LGIO,39.696,20.823,130,5
LGEL,38.064,23.556,340,9
LGBL,39.22,22.794,120,12
LGAV,37.936,23.945,40,16
LGAL,40.856,25.945,70,11
LGAD,37.923,21.287,300,14
LATI,41.419,19.716,320,15
KTAN,41.8756,-71.0208,160,3
KSEM,32.3367,-86.9836,250,5
KQFX,-99.99,-99.99,200,2
KQFW,-99.99,-99.99,200,4
KQFV,-99.99,-99.99,10,1
KQFU,-99.99,-99.99,170,2
KQFT,-99.99,-99.99,180,2
KQFB,-99.99,-99.99,130,1
KQEY,-99.99,-99.99,250,4
KQEX,-99.99,-99.99,310,3
KQEW,-99.99,-99.99,230,5
KQEV,-99.99,-99.99,250,3
KQER,-99.99,-99.99,230,2
KQEQ,-99.99,-99.99,200,2
KQEP,-99.99,-99.99,220,6
KQEJ,-99.99,-99.99,190,2
KQEI,-99.99,-99.99,180,3
KPVD,41.7225,-71.4325,180,3
KPO1,48.134,-105.162,0,0
KP08,32.9359,-111.427,0,0
KOXR,34.2001,-119.204,40,3
KJXN,42.259,-84.4589,230,6
KGUL,27.3039,-93.5383,160,5
KFFC,33.3543,-84.5689,0,0
KETB,43.4225,-88.1326,0,0
KDSF,28.3426,-88.2649,260,3
KD73,33.7826,-83.6948,290,3
KCQB,35.7223,-96.8187,210,16
KCEF,42.201,-72.525,210,5
KBMQ,30.7407,-98.2354,170,11
KADG,41.8678,-84.0794,230,4
K0F2,33.6011,-97.7735,210,10
EYVI,54.634,25.286,320,17
EYSA,55.894,23.395,310,19
EYPA,55.973,21.092,330,8
EYKA,54.962,24.069,290,12
EVVA,57.361,21.545,330,18
EVRA,56.924,23.968,330,15
EVLA,56.517,21.097,330,14
EVGA,56.778,24.854,330,14
ESUT,65.806,15.083,330,10
ESUP,67.246,23.069,350,6
ESTL,56.083,13.213,290,14
ESTA,56.294,12.848,300,15
ESSV,57.662,18.348,330,13
ESST,60.158,12.992,330,9
ESSP,58.584,16.255,310,12
ESSL,58.406,15.681,290,13
ESSD,60.422,15.515,310,13
ESSB,59.356,17.933,350,10
ESSA,59.664,17.92,340,12
ESPA,65.541,22.126,340,11
ESOW,59.595,16.638,320,12
ESOK,59.442,13.342,280,10
ESOH,60.02,13.579,320,8
ESOE,59.229,15.046,280,12
ESNZ,63.199,14.489,300,12
ESNX,65.592,19.283,10,8
ESNV,64.579,16.839,300,6
ESNU,63.789,20.285,340,10
ESNS,64.625,21.077,320,11
ESNQ,67.823,20.34,350,8
ESNO,63.412,18.98,350,11
ESNN,62.532,17.436,340,11
ESNL,64.552,18.711,310,9
ESNK,63.047,17.766,330,8
ESNG,67.133,20.81,330,7
ESND,62.047,14.416,300,8
ESMX,56.927,14.73,330,10
ESMV,57.29,14.134,300,8
ESMT,56.691,12.82,280,15
ESMS,55.539,13.373,300,11
ESMQ,56.685,16.284,320,15
ESMK,55.922,14.085,290,14
ESKS,61.165,12.834,330,8
ESKN,58.786,16.918,330,13
ESKM,60.96,14.507,330,10
ESIB,58.431,12.71,250,6
ESIA,58.514,14.507,290,10
ESGT,58.314,12.347,260,8
ESGP,57.781,11.869,260,12
ESGJ,57.752,14.069,310,10
ESGG,57.667,12.285,260,10
ESDF,56.266,15.267,320,8
ESCM,59.899,17.589,350,10
ESCF,58.398,15.526,280,15
ENZV,58.884,5.637,180,5
ENVD,70.065,29.835,130,6
ENVA,63.46,10.931,280,7
ENUN,-99.99,-99.99,190,15
ENTO,59.184,10.255,180,8
ENTC,69.675,18.916,40,8
ENST,65.961,12.472,240,5
ENSS,70.355,31.044,360,10
ENSR,69.789,20.955,340,7
